days_since_last_activity,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,repo_activity_density,churn
54,7.6046,4.75,0.0303,0.9697,0.2304,0
33,0.721,0.475,0.0,1.0,0.0,0
99,2.7149,0.6129,0.2143,0.7857,0.5818,0
61,4.5799,0.5135,0.0833,0.9167,0.3817,0
54,0.9177,0.8636,0.0,1.0,0.0,0
11,10.9767,0.7917,0.05,0.95,0.5488,0
5,4.601,0.6552,0.2308,0.7692,1.0618,0
5,2.1913,0.2969,0.1818,0.8182,0.3984,0
9,1.6471,0.5294,0.1667,0.8333,0.2745,0
900,7.4376,0.5,0.0,1.0,0.0,1
1144,2.8542,0.8571,0.0,1.0,0.0,1
133,0.0,0.6207,0.0,0.0,0.0,0
65,1.8242,0.5143,0.0,1.0,0.0,0
39,3.1601,1.3846,0.125,0.875,0.395,0
96,2.3634,1.3846,0.0833,0.9167,0.197,0
86,0.8512,0.45,0.0,1.0,0.0,0
583,0.7433,1.0,0.0,1.0,0.0,1
1024,12.1583,1.0,0.0,1.0,0.0,1
25,22.8281,0.1395,0.0,1.0,0.0,0
17,16.747,0.1208,0.0661,0.9339,1.1072,0
12,6.2669,1.2,0.0256,0.9744,0.1607,0
15,1.386,1.2857,0.0588,0.9412,0.0815,0
2,2.0096,1.0588,0.25,0.75,0.5024,0
464,0.853,1.8889,0.0,1.0,0.0,1
346,1.8781,1.4167,0.0,1.0,0.0,1
5,2.5439,0.2464,0.2308,0.7692,0.5871,0
3,2.3215,0.2429,0.1429,0.8571,0.3316,0
541,0.0719,0.5,0.0,1.0,0.0,1
210,2.3464,1.3077,0.0,1.0,0.0,1
3,2.5371,3.4,0.037,0.963,0.094,0
54,6.1495,5.6667,0.1628,0.8372,1.0011,0
501,2.0456,0.68,0.0,1.0,0.0,1
250,1.4265,0.85,0.0526,0.9474,0.0751,1
20,2.9619,1.0,0.0,1.0,0.0,0
3663,0.6422,3.4,0.0,1.0,0.0,1
4,2.4671,0.6296,0.5238,0.4762,1.2923,0
91,2.1206,0.7083,0.3529,0.6471,0.7485,0
47,1.6388,1.8889,0.25,0.75,0.4097,0
5,1.625,0.5484,0.0,1.0,0.0,0
6,2.3645,0.7727,0.4211,0.5789,0.9956,0
18,9.3409,1.3077,0.0455,0.9545,0.4246,0
26,3.5573,1.2143,0.05,0.95,0.1779,0
17,1.9914,1.1333,1.0,0.0,1.9914,0
1,3.9018,0.6538,0.0,1.0,0.0,0
45,1.5725,0.9444,0.1111,0.8889,0.1747,0
5,1.7539,0.4474,0.0,1.0,0.0,0
5,6.571,0.9444,0.0,1.0,0.0,0
10,1.2733,0.2909,0.3846,0.6154,0.4897,0
2,6.7639,0.5517,1.0,0.0,6.7639,0
6,1.6851,0.5333,0.375,0.625,0.6319,0
43,1.8361,2.0,0.0714,0.9286,0.1311,0
101,0.1154,4.0,0.0,1.0,0.0,0
105,1.4643,0.8889,0.0,1.0,0.0,0
16,0.7723,0.5161,0.0,1.0,0.0,0
6,2.9636,1.6,0.122,0.878,0.3614,0
19,0.9037,2.0,0.0,1.0,0.0,0
104,1.3457,0.2162,0.0,1.0,0.0,0
3,2.8437,1.3333,0.0,1.0,0.0,0
14,0.2468,0.9412,0.5,0.5,0.1234,0
13,0.4801,0.9412,0.2857,0.7143,0.1372,0
59,20.0137,0.7619,1.0,0.0,20.0137,0
233,0.6383,5.3333,0.0,1.0,0.0,1
409,0.2665,1.3333,0.0,1.0,0.0,1
381,1.7399,1.0,0.0,1.0,0.0,1
657,0.9487,3.2,0.0,1.0,0.0,1
101,23.0442,1.1429,0.1136,0.8864,2.6187,0
3,1.2796,2.2857,0.05,0.95,0.064,0
511,0.0,3.75,0.0,0.0,0.0,1
792,3.171,0.8333,0.0,1.0,0.0,1
107,4.6937,1.5,0.0204,0.9796,0.0958,0
28,8.0713,3.75,0.0241,0.9759,0.1945,0
26,3.892,1.0714,0.9231,0.0769,3.5926,0
34,5.7287,0.75,0.0303,0.9697,0.1736,0
107,0.9186,0.75,0.2727,0.7273,0.2505,0
1537,0.0,7.5,0.0,0.0,0.0,1
73,2.7098,0.5556,0.1212,0.8788,0.3285,0
97,2.1651,1.25,0.0,1.0,0.0,0
634,1.4743,15.0,0.25,0.75,0.3686,1
42,1.2843,3.0,0.0667,0.9333,0.0856,0
4,1.8122,3.75,0.4444,0.5556,0.8054,0
392,0.3552,1.3636,0.0,1.0,0.0,1
67,2.5994,1.0,0.0286,0.9714,0.0743,0
14,0.0,15.0,0.0,0.0,0.0,0
18,0.82,1.875,0.0,1.0,0.0,0
6,10.6943,1.875,0.0256,0.9744,0.2742,0
60,3.1753,0.8824,0.0,1.0,0.0,0
5,1.6802,0.8333,0.0,1.0,0.0,0
719,1.7163,1.3636,0.0,1.0,0.0,1
303,0.8791,0.875,0.0,1.0,0.0,1
1,2.3763,1.0769,0.0588,0.9412,0.1398,0
1860,0.2222,1.0,0.0,1.0,0.0,1
19,3.3628,0.6667,0.0,1.0,0.0,0
40,13.0446,0.5185,0.4,0.6,5.2179,0
3761,0.2279,3.5,0.0,1.0,0.0,1
53,0.1821,1.5556,0.0,1.0,0.0,0
246,0.0,3.5,0.0,0.0,0.0,1
73,0.9633,4.6667,0.0909,0.9091,0.0876,0
26,7.2387,0.6087,0.0723,0.9277,0.5233,0
3,0.6372,2.0,0.2,0.8,0.1274,0
