account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repository_maintenance_ratio,churn
4718,2.0902,0.4286,0.0,1.0,0.2963,0.6296,0.0,0
3478,7.5612,7.2,0.0278,0.9722,0.4861,0.0694,0.1667,0
3056,6.3345,0.3977,0.0189,0.9811,0.1132,0.0566,0.0,0
5099,5.3007,0.2465,0.0405,0.9595,0.3649,0.0,0.027,0
783,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0
4989,0.5857,1.0303,0.125,0.875,1.375,0.125,0.0,0
3265,12.0818,0.5484,0.1481,0.8519,0.0278,0.1204,0.0185,0
4802,2.51,0.5484,0.0303,0.9697,0.9091,0.0303,0.0606,0
4302,1.1037,0.2112,0.0769,0.9231,0.0,0.0,0.0,1
2831,0.3871,0.4304,0.3333,0.6667,0.3333,0.0,0.3333,0
2662,6.586,0.33,0.0833,0.9167,0.1458,0.0625,0.0833,0
1727,5.7103,0.55,0.0,1.0,1.8889,0.037,0.0,0
5047,8.9015,3.6667,0.0163,0.9837,0.1707,0.0732,0.0,0
632,10.9806,1.32,0.5263,0.4737,0.0526,0.0526,0.1579,0
5031,1.6698,0.8205,0.0,1.0,0.3913,0.2609,0.0,0
4488,2.9298,10.6667,0.0,1.0,0.3333,0.1667,0.0,0
5702,0.8968,0.64,0.2857,0.7143,1.5714,0.2857,0.0714,0
5133,0.0712,1.1429,1.0,0.0,2.0,0.0,1.0,0
3705,3.1547,1.0667,0.0,1.0,0.25,0.0625,0.0,0
2651,3.72,0.9697,0.0,1.0,0.5556,0.1111,0.0,1
4506,0.5674,6.4,0.1429,0.8571,3.2857,0.4286,0.0,0
5009,1.2396,1.55,0.0,1.0,0.4118,0.2941,0.0,0
3782,1.1589,6.2,0.0833,0.9167,0.8333,0.5833,0.0,0
2401,0.1521,1.4762,0.0,1.0,0.0,0.0,0.0,1
4517,0.2426,0.6458,0.0,1.0,1.0,0.0,0.0,0
2702,3.1091,0.4189,0.087,0.913,0.8261,0.1739,0.087,0
4910,0.0,1.069,0.0,0.0,0.0,0.0,0.0,0
1685,0.2168,0.625,0.0,1.0,0.0,0.0,0.0,0
1284,4.8359,30.0,0.2353,0.7647,3.8235,2.6471,0.1176,0
3681,5.8543,0.5,0.0,1.0,0.678,0.4068,0.0339,1
4509,2.3491,1.875,0.069,0.931,0.2759,0.3448,0.1034,0
4495,4.3066,1.5,0.0189,0.9811,0.0943,0.0377,0.0189,0
4024,3.1769,0.6522,0.0,1.0,0.0857,0.0286,0.0286,0
2378,8.2942,3.0,0.037,0.963,2.4815,0.2222,0.0185,0
5462,0.3344,0.6818,0.2,0.8,1.0,0.0,0.2,0
3516,1.2466,1.5789,0.0833,0.9167,3.0833,0.5,0.0,0
1605,2.9584,1.1154,0.0,1.0,0.0769,0.0,0.0,1
1792,1.4268,2.9,0.0,1.0,0.4286,0.0,0.0,0
5086,5.4579,1.16,0.0,1.0,0.0395,0.0,0.0,0
5037,0.3626,0.2613,0.0,1.0,0.0,0.0,0.0,1
3477,0.6303,0.9355,0.8333,0.1667,0.0,0.0,0.8333,0
