followers_following_ratio,account_age_days,repos_per_year,avg_stars_per_repo,avg_forks_per_repo,active_repo_ratio,churn
14.5,2232,6.0548,0.8378,0.3514,0.1351,0
0.5714,3326,2.0865,0.0,0.0,0.7895,0
0.2276,3380,8.4288,0.0256,0.0256,0.0769,0
2.1538,4209,0.6074,1.4286,0.4286,0.1429,0
0.5,4112,2.3095,1.4615,0.4231,0.0769,0
1.0,1345,12.4918,0.0435,0.0,0.0,1
4.6667,5500,1.793,0.2593,0.2222,0.037,0
0.56,2212,5.2839,0.25,0.125,0.2188,0
0.4375,4508,0.2431,0.6667,0.0,0.3333,0
1.5556,1288,8.791,0.0968,0.0323,0.0323,0
1.0,1547,12.5134,0.0189,0.0,0.0755,0
0.359,4832,1.0583,0.5,0.0,0.0,0
0.4828,3146,1.3932,0.3333,0.0,0.4167,0
0.5625,3452,8.7821,0.494,0.0602,0.0482,0
1.08,5209,0.1402,0.0,0.5,0.0,0
1.125,1365,3.4786,0.8462,0.0,0.0,0
1.0,418,20.0975,0.0435,0.0435,0.2174,0
0.7105,4447,3.9424,0.5833,0.0625,0.0208,0
0.2755,4672,6.6452,0.1059,0.0588,0.1647,0
0.8438,2500,4.6752,0.1562,0.0312,0.0312,0
27.0,799,16.914,0.8919,0.027,0.2162,0
0.75,4535,4.7519,0.339,0.2034,0.1017,0
1.7333,1430,12.5156,0.1224,0.0,0.0204,0
1.1304,4652,1.8058,0.0,0.0,0.0,1
8.6667,5536,0.9897,0.2667,0.0,0.0,1
2.8889,5690,2.6319,0.1951,0.0488,0.0244,0
0.6047,420,26.0893,0.8,0.1333,0.3667,0
1.8571,4581,0.7176,2.0,1.3333,0.0,0
0.7647,4073,2.78,0.0968,0.0323,0.0645,0
26.0,789,1.3888,3.3333,0.3333,0.0,1
4.3333,5487,2.5961,0.6154,1.4615,0.1026,0
1.1304,6152,2.078,0.1143,0.0,0.0,0
2.0833,3822,2.0069,1.0476,0.0476,0.2381,0
0.2174,3907,2.9916,0.0625,0.0312,0.0,0
0.4808,1497,10.4915,0.093,0.0233,0.0698,0
1.3158,560,18.9147,0.0,0.0,0.4138,0
0.5952,4645,0.3145,1.0,0.0,0.0,0
0.2,4741,4.4684,0.0172,0.0345,0.069,0
1.5625,3857,11.5532,0.0492,0.041,0.0246,0
1.0,4808,0.3798,0.0,0.2,0.0,1
0.5556,4827,25.6515,0.0826,0.0265,0.0059,0
0.7576,4341,2.6083,0.0968,0.0645,0.2258,0
2.7778,4432,0.2472,0.3333,0.0,0.0,0
1.087,3626,0.9066,0.0,0.0,0.6667,0
1.1364,5472,1.0012,0.1333,0.0667,0.0,1
0.8065,2045,5.3582,0.4333,0.0,0.0,0
0.4211,2110,5.3662,0.2258,0.0645,0.0968,0
2.1818,2418,4.5316,0.7667,0.3,0.1333,0
1.1429,4483,3.259,0.05,0.025,0.0,1
2.6667,3470,4.3156,0.0732,0.0244,0.122,0
0.2963,1912,2.8655,0.2,0.0,0.2667,0
0.3871,3006,2.0656,0.6471,0.2353,0.0588,0
24.0,1442,1.7731,0.2857,4.4286,0.0,1
1.2,4583,0.7173,0.0,0.1111,0.2222,0
0.6486,5466,1.2028,0.1667,0.1111,0.0,0
0.7059,2403,4.4079,0.0,0.0,0.0,0
24.0,1746,1.2552,0.0,0.1667,0.1667,1
0.5581,1709,1.7098,1.0,0.0,0.5,0
2.3,4848,2.0342,0.1481,0.0741,0.1111,0
1.2105,4093,4.4619,0.1,0.02,0.0,0
11.5,4474,1.5511,3.5789,3.0,0.0,0
1.2105,2753,4.9089,0.0,0.0,0.3243,0
1.0,5540,2.4394,0.1892,0.1351,0.0811,0
0.6053,4422,2.3954,0.1724,0.4138,0.0,1
0.7667,3940,4.8206,0.0385,0.0192,0.0385,0
0.92,5393,1.6254,0.0833,0.0833,0.0417,0
1.0455,2711,7.6795,0.1053,0.0,0.0526,0
0.7667,1805,1.8212,0.2222,0.0,0.0,0
0.575,3646,2.2039,27.9545,0.5909,0.3182,0
1.0,4865,0.7508,0.0,0.0,0.0,1
0.697,755,13.0619,0.0,0.0,0.0741,0
0.7333,5366,0.8849,1.1538,0.0,0.0769,0
1.2222,1865,0.0,0.0,0.0,0.0,0
1.8333,4588,0.7961,0.0,0.0,0.1,0
0.9167,2144,5.1108,0.4333,0.1,0.0667,0
1.375,1650,1.7709,16.375,10.75,0.0,1
0.6286,622,14.6805,0.04,0.0,0.04,0
1.2941,5094,1.8643,0.0,0.0,0.0385,0
0.5946,3518,0.3115,0.6667,0.0,0.3333,1
0.88,2644,2.901,0.2381,0.0952,0.0,0
1.5714,5683,1.414,1.3182,0.2273,0.2727,0
1.0476,1123,1.301,0.0,0.0,0.0,0
1.5714,4992,0.439,0.1667,0.0,0.0,0
0.3385,2299,1.1121,0.2857,0.1429,0.0,0
0.88,4711,1.0854,1.1429,0.4286,0.0,0
1.5714,5773,0.949,0.0667,0.0,0.2,0
1.2222,4481,1.7932,0.0909,0.0455,0.0,0
0.6471,4535,4.2686,0.1509,0.0377,0.0189,0
1.375,4405,1.1608,0.3571,0.2143,0.0714,0
0.88,4416,0.4963,0.0,0.3333,0.0,0
1.5714,4873,4.5722,0.3279,0.0,0.0,0
0.4314,3445,1.5903,0.1333,0.0,0.4,0
1.2941,3099,3.3001,0.1429,0.0,0.0,0
1.375,4714,3.1768,0.122,0.122,0.0488,0
1.1579,3302,8.2961,0.1467,0.2133,0.04,0
2.2,5544,0.4612,0.4286,0.1429,0.0,1
1.2222,2345,4.2054,0.0,0.0,0.1111,0
1.0476,1943,5.0755,0.1852,0.1111,0.0,0
1.2941,336,20.654,0.0526,0.0,0.9474,0
2.75,5571,0.7212,0.0,0.0,0.1818,0
1.9091,2462,1.4835,0.0,0.0,0.1,1
5.25,2686,1.4958,0.2727,0.1818,0.0,1
1.4,3639,0.0,0.0,0.0,0.0,1
0.9545,1630,9.4113,0.0476,0.0,0.0,0
1.1667,633,8.0782,0.0,0.0,0.0,1
2.3333,5802,4.5955,2.4521,0.5068,0.0274,0
0.6,2177,5.0333,0.0333,0.0333,0.0667,0
0.525,4444,0.9863,0.0833,0.0833,0.0,1
21.0,3566,0.4097,16.75,7.75,0.0,1
0.84,1945,8.8261,0.0851,0.1489,0.1702,0
0.84,3887,0.0,0.0,0.0,0.0,1
1.6154,4098,2.4065,0.1852,0.1111,0.0,0
1.05,4964,2.8696,2.2051,2.1795,0.0,0
0.875,2604,6.1717,0.1136,0.0,0.0227,0
0.75,3683,0.9917,0.5,0.2,0.0,0
