days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,churn
14,1943,5.0755,1.0476,0.0,1.0,0
23,336,20.654,1.2941,0.9474,0.0526,0
64,5571,0.7212,2.75,0.1818,0.8182,0
388,2462,1.4835,1.9091,0.1,0.9,1
230,2686,1.4958,5.25,0.0,1.0,1
1203,3639,0.0,1.4,0.0,0.0,1
71,1630,9.4113,0.9545,0.0,1.0,0
211,633,8.0782,1.1667,0.0,1.0,1
4,5802,4.5955,2.3333,0.0274,0.9726,0
15,2177,5.0333,0.6,0.0667,0.9333,0
582,4444,0.9863,0.525,0.0,1.0,1
2564,3566,0.4097,21.0,0.0,1.0,1
35,1945,8.8261,0.84,0.1702,0.8298,0
2099,3887,0.0,0.84,0.0,0.0,1
20,4098,2.4065,1.6154,0.0,1.0,0
4,4964,2.8696,1.05,0.0,1.0,0
26,2604,6.1717,0.875,0.0227,0.9773,0
18,3683,0.9917,0.75,0.0,1.0,0
34,4595,1.8282,1.75,0.1304,0.8696,0
1,1934,6.61,5.25,0.4571,0.5429,0
58,4946,2.5108,1.8182,0.0294,0.9706,0
48,3583,1.8349,0.5714,0.0,1.0,0
67,2234,4.5779,0.625,0.3214,0.6786,0
32,3638,2.008,0.7143,0.05,0.95,0
16,2873,2.1612,1.8182,0.2353,0.7647,0
19,1721,11.6727,1.0526,0.0545,0.9455,0
48,5096,0.6451,1.5385,0.4444,0.5556,0
8,2480,0.0,20.0,0.0,0.0,0
97,1666,0.0,0.2941,0.0,0.0,0
19,2136,5.9849,0.3774,0.1143,0.8857,0
13,5437,1.2764,1.3333,0.1053,0.8947,0
222,3952,0.5545,0.4255,0.0,1.0,1
852,868,0.4208,20.0,0.0,1.0,1
20,4387,0.5828,1.1765,0.0,1.0,0
103,2949,1.1147,20.0,0.0,1.0,0
32,588,11.1811,1.0526,0.3333,0.6667,0
74,4446,1.3966,1.2667,0.1765,0.8235,0
55,3897,8.0604,0.3065,0.0349,0.9651,0
74,4333,5.6478,0.2754,0.0597,0.9403,0
95,4459,2.9489,2.1111,0.0278,0.9722,0
14,1242,0.2941,19.0,1.0,0.0,0
284,3084,0.9475,2.375,0.125,0.875,1
20,1368,12.0148,0.5,0.0,1.0,0
10,4589,1.2735,19.0,0.0625,0.9375,0
12,4372,0.6683,0.3878,0.125,0.875,0
17,2425,9.6396,1.0556,0.0938,0.9062,0
53,5754,0.3174,1.4615,0.0,1.0,0
640,1419,0.5148,19.0,0.0,1.0,1
28,5397,1.9626,0.7308,0.0345,0.9655,0
54,1585,7.6046,4.75,0.0303,0.9697,0
33,3546,0.721,0.475,0.0,1.0,0
99,3767,2.7149,0.6129,0.2143,0.7857,0
61,1914,4.5799,0.5135,0.0833,0.9167,0
54,3184,0.9177,0.8636,0.0,1.0,0
11,1331,10.9767,0.7917,0.05,0.95,0
5,2064,4.601,0.6552,0.2308,0.7692,0
5,3667,2.1913,0.2969,0.1818,0.8182,0
9,2661,1.6471,0.5294,0.1667,0.8333,0
900,4960,7.4376,0.5,0.0,1.0,1
1144,4095,2.8542,0.8571,0.0,1.0,1
133,2517,0.0,0.6207,0.0,0.0,0
65,3604,1.8242,0.5143,0.0,1.0,0
39,2774,3.1601,1.3846,0.125,0.875,0
96,3709,2.3634,1.3846,0.0833,0.9167,0
86,5149,0.8512,0.45,0.0,1.0,0
583,2457,0.7433,1.0,0.0,1.0,1
1024,2193,12.1583,1.0,0.0,1.0,1
25,3152,22.8281,0.1395,0.0,1.0,0
17,2639,16.747,0.1208,0.0661,0.9339,0
12,2273,6.2669,1.2,0.0256,0.9744,0
15,4480,1.386,1.2857,0.0588,0.9412,0
2,2908,2.0096,1.0588,0.25,0.75,0
464,4282,0.853,1.8889,0.0,1.0,1
346,4862,1.8781,1.4167,0.0,1.0,1
5,3733,2.5439,0.2464,0.2308,0.7692,0
3,3304,2.3215,0.2429,0.1429,0.8571,0
541,5077,0.0719,0.5,0.0,1.0,1
210,3269,2.3464,1.3077,0.0,1.0,1
3,3887,2.5371,3.4,0.037,0.963,0
54,2554,6.1495,5.6667,0.1628,0.8372,0
501,3571,2.0456,0.68,0.0,1.0,1
250,4865,1.4265,0.85,0.0526,0.9474,1
20,2713,2.9619,1.0,0.0,1.0,0
3663,3981,0.6422,3.4,0.0,1.0,1
4,3109,2.4671,0.6296,0.5238,0.4762,0
91,2928,2.1206,0.7083,0.3529,0.6471,0
47,3566,1.6388,1.8889,0.25,0.75,0
5,3821,1.625,0.5484,0.0,1.0,0
6,2935,2.3645,0.7727,0.4211,0.5789,0
18,3441,9.3409,1.3077,0.0455,0.9545,0
26,4107,3.5573,1.2143,0.05,0.95,0
17,2201,1.9914,1.1333,1.0,0.0,0
1,3370,3.9018,0.6538,0.0,1.0,0
45,4181,1.5725,0.9444,0.1111,0.8889,0
5,2499,1.7539,0.4474,0.0,1.0,0
5,2279,6.571,0.9444,0.0,1.0,0
10,3729,1.2733,0.2909,0.3846,0.6154,0
2,324,6.7639,0.5517,1.0,0.0,0
6,1734,1.6851,0.5333,0.375,0.625,0
