login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
mwismann,73,1459,9.0123,1.6,0.0,1.0,3.3056,0.0833,0.0,0.0
PyCeciliaReyes,25,2257,4.8549,0.6897,0.0333,0.9667,0.0333,0.0,0.1618,0.0
aarcex3,1,2344,10.9076,0.2229,0.0,1.0,0.1714,0.0,0.0,0.0
scanterog,90,3978,2.7545,1.56,0.0333,0.9667,1.2,0.4667,0.0918,0.0
jazgamarra,97,1396,8.8958,0.975,0.0,1.0,0.1765,0.0882,0.0,0.0
alfredoreduarte,38,4757,2.1499,1.1143,0.1071,0.8929,0.9286,0.0,0.2303,0.1071
9andresc,168,4473,2.858,0.4756,0.0,1.0,0.8857,0.0571,0.0,0.0
Shinta,49,5613,0.3254,5.5714,0.0,1.0,0.2,0.2,0.0,0.0
javierpelozo,18,3749,2.2408,0.6094,0.0435,0.9565,0.3913,0.0435,0.0974,0.0
imroca,17,6061,0.4218,1.8095,0.0,1.0,5.8571,2.1429,0.0,0.0
jufrancopy,23,3611,4.754,1.3571,0.1277,0.8723,0.0,0.0,0.6069,0.0851
dave-ramirez,114,3663,0.698,0.4578,0.0,1.0,0.0,0.0,0.0,0.0
SantiagoValdez,101,6282,1.9187,2.4667,0.0303,0.9697,0.4545,0.0,0.0581,0.0303
reybritez,82,2526,5.4947,0.7708,0.0,1.0,0.0526,0.0,0.0,0.0
soyglorialopez,82,2758,3.1784,3.3636,0.0833,0.9167,0.0,0.0,0.2649,0.0417
giullianocht,98,2901,1.8886,0.4868,0.0,1.0,1.0667,0.2667,0.0,0.0
sosa-marcelo,2,2893,2.6513,0.7551,0.0,1.0,0.381,0.0,0.0,0.0
mcrose,95,5892,1.1158,0.5606,0.0,1.0,0.1667,0.0,0.0,0.0556
NelbaBarreto,31,2643,2.4875,1.4231,0.0556,0.9444,0.0,0.0556,0.1382,0.0
cvmelgarejo,18,1554,3.0555,1.0286,0.0,1.0,0.5385,0.2308,0.0,0.0
berithpy,20,4337,3.9582,1.0588,0.0213,0.9787,0.3404,0.2128,0.0842,0.0426
jkrauer,27,4707,0.388,0.7059,0.0,1.0,1.0,0.6,0.0,0.0
ahalaburda,83,4718,2.0902,0.4286,0.0,1.0,0.2963,0.6296,0.0,0.0
ScriptHound,1,3478,7.5612,7.2,0.0278,0.9722,0.4861,0.0694,0.21,0.1667
WilsonOviedo,14,3056,6.3345,0.3977,0.0189,0.9811,0.1132,0.0566,0.1195,0.0
dario61081,4,5099,5.3007,0.2465,0.0405,0.9595,0.3649,0.0,0.2149,0.027
ueno-tech-bkp,14,783,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
fvrodas,130,4989,0.5857,1.0303,0.125,0.875,1.375,0.125,0.0732,0.0
gallopelado,39,3265,12.0818,0.5484,0.1481,0.8519,0.0278,0.1204,1.7899,0.0185
angelmorinigo,12,4802,2.51,0.5484,0.0303,0.9697,0.9091,0.0303,0.0761,0.0606
